age_group,estonian_male_rate,estonian_female_rate,other_male_rate,other_female_rate
0-4,0.003531607890621058,0.003285116303714301,0.008994364976159516,0.00967236303857476
5-9,0.0036785837452580758,0.003337657423923031,0.010634605068004671,0.01113881961762261
10-14,0.0024330062546623057,0.002472799208704253,0.009187620889748548,0.007961407414904025
15-19,0.0023901600601568375,0.002704559113934919,0.010974381116868163,0.01176768773987979
20-24,0.00828766813097233,0.011352205776692053,0.04020453178263485,0.05376462390435324
25-29,0.01723759757435004,0.018115942028985508,0.061822978054666904,0.06649993587277157
30-34,0.012374012660890853,0.00948793940890755,0.02982475436280979,0.0246314275440489
35-39,0.010797772118351036,0.006043579105550293,0.023140805920772153,0.013691128148959474
40-44,0.008927993789221713,0.004652629918776121,0.02192216660846622,0.012212102536008584
45-49,0.009270126934446182,0.004394996125318277,0.021848390446521287,0.01026807249672662
50-54,0.008238573021181717,0.004299272348155075,0.019227053140096623,0.009711661522246479
55-59,0.006965174129353234,0.003994216090646186,0.016703600447971027,0.008743312018791596
60-64,0.0027950136955671085,0.0016632114035395951,0.0080781472944792,0.0036974731013212775
65-69,0.0004989273062914733,0.0005439754716514601,0.005356375855883171,0.0024551363572135085
70-74,0.0002642598690897264,0.00032544455726522435,0.003760576621748668,0.0019138563197550263
75-79,0.00023428805716628592,0.0003859275382454191,0.0050981391791995925,0.0032128514056224892
80-84,0.00030860625699186047,0.0002153744201457919,0.0030641821946169774,0.002779540167376658
85+,0.00016750418760469013,0.0003396335354152869,0.004572271386430678,0.004073638856247552
