age_group,estonian_male,other_male,estonian_female,other_female
0-4,26428,9228,25164,8719
5-9,26097,10563,24668,10025
10-14,29045,10340,27634,9881
15-19,24824,9264,23294,9206
20-24,22081,9974,20877,9089
25-29,25835,11878,24380,10396
30-34,34858,18184,32392,14832
35-39,32198,19547,30611,16434
40-44,30914,17182,29589,14603
45-49,30672,16050,30110,14511
50-54,29900,13800,31013,13283
55-59,26130,13989,28124,15326
60-64,23852,15185,28459,19022
65-69,20043,13193,26962,18872
70-74,16398,9573,25606,16546
75-79,11382,3923,21593,7885
80-84,8641,4025,20120,11033
85+,5970,2260,19629,8510
